cssigniter.com,"[22, 2, 1]","['h2', 'h2', 'h2']"
smashmate.net,"[10, 6, 3, 3, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1]","['h2', 'h3', 'h3', 'h3', 'h3', 'h2', 'h2', 'h2', 'h2', 'h3', 'h1', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h3', 'h2', 'h2', 'h1', 'h1', 'h1']"
trainstation2.com,"[1, 21, 18, 1, 1, 4, 2, 3, 1, 2, 1, 2, 1, 1, 1, 2]","['h3', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2']"
qcy.com,"[1, 1]","['h1', 'h1']"
etao.com,"[1, 45, 12, 1, 4, 2, 1, 1, 7, 1, 3, 1, 1, 6, 1]","['h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2']"
pix4d.com,"[1, 26, 1, 3, 13, 1, 3, 1, 1, 1, 2, 1, 1, 3, 2, 1, 1, 1, 2, 1, 1, 1, 1, 1]","['h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h3', 'h2', 'h2', 'h3']"
www.go.gov.br,"[11, 2, 2, 1, 9, 11, 2, 5, 2, 1, 2, 1, 2, 1, 1, 1]","['h1', 'h2', 'h2', 'h2', 'h1', 'h1', 'h2', 'h1', 'h3', 'h1', 'h1', 'h2', 'h1', 'h1', 'h2', 'h2']"
realitytea.com,"[1, 1, 41, 2, 19, 2, 3, 3, 1, 2, 4, 2, 2, 1, 4, 4, 4, 2, 3, 2, 1, 6, 11, 3, 1, 1, 3, 1, 8, 1, 2, 2, 5, 3, 7, 2, 1, 1, 4, 1, 2, 2, 1, 6, 2, 2, 2, 1, 5, 1, 6, 4, 2, 1, 2, 2, 2, 1, 1, 3, 1, 3, 1, 2, 3, 1, 3, 3, 1, 3, 1, 1, 1, 1, 1, 2, 2, 1, 14, 1, 1, 2, 2, 4, 4, 4, 4, 4, 6, 23, 2, 4, 3, 2, 1, 1, 1, 5, 3, 1, 2, 2, 2, 1, 3, 1, 1, 1, 2, 1, 1, 2, 1, 1, 4, 1, 1, 1, 1, 2, 1, 2, 1, 1, 3, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 5, 2, 1, 3, 2, 4, 2, 1, 2, 1, 1, 1, 15, 4, 12, 1, 1, 4, 1, 1, 15, 14, 2, 2, 2, 1, 1, 2, 1, 1]","['h1', 'h1', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h3', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h1', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h1', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h1', 'h1', 'h1', 'h1', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h3', 'h2', 'h2', 'h3', 'h3', 'h3', 'h1', 'h1', 'h2', 'h1', 'h2', 'h3', 'h3', 'h1', 'h2', 'h2', 'h2', 'h1', 'h2', 'h1', 'h1']"
ocas.ai,"[4, 34, 1, 1, 2, 1, 2, 1, 1, 2]","['h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2']"
nic.or.kr,"[10, 6, 1, 7, 7, 8, 2, 4, 1]","['h1', 'h1', 'h2', 'h1', 'h1', 'h2', 'h1', 'h1', 'h2']"
exhibit-e.com,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 41, 5, 2, 2, 1, 2, 2, 40, 2, 1, 1, 1]","['h2', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2']"
stockstotrade.com,"[36, 1, 1, 1, 3, 1, 2, 1, 2, 3, 1, 11, 1, 1, 1, 2, 4, 1, 3, 1, 1, 1, 3, 1, 5, 1, 3, 1, 2, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 3, 1, 2, 1, 1, 1, 8, 1, 1, 2, 1, 1, 1, 3, 3, 3, 4, 1, 4, 1, 5, 6, 2, 4, 1, 4, 1, 1, 1, 1]","['h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h1', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h3', 'h2', 'h3', 'h2', 'h3', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h3', 'h2', 'h3', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2']"
buyandsellhair.com,"[75, 1, 1, 2, 1, 1, 1, 2, 1, 1]","['h3', 'h2', 'h2', 'h3', 'h2', 'h3', 'h3', 'h2', 'h2', 'h2']"
bea-brak.de,"[1, 8, 3, 3, 1, 1, 1]","['h1', 'h1', 'h1', 'h1', 'h1', 'h1', 'h1']"
myget.org,"[19, 1, 1, 2, 2, 2, 1, 1, 4, 1, 2, 2, 2, 1, 1, 3, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 4]","['h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h3', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h2', 'h3', 'h2', 'h3', 'h2', 'h1', 'h2', 'h2', 'h2', 'h2', 'h2', 'h1']"
voipraider.com,"[2, 10, 3, 4, 4, 6, 1, 6, 4, 2, 2, 1, 1, 1, 1, 2, 1]","['h1', 'h1', 'h2', 'h1', 'h1', 'h1', 'h3', 'h1', 'h1', 'h1', 'h2', 'h3', 'h2', 'h2', 'h2', 'h1', 'h2']"
